location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20230101T0000,12.270246
20230101T0100,12.340245
20230101T0200,11.840245
20230101T0300,11.550245
20230101T0400,11.260245
20230101T0500,10.990245
20230101T0600,10.350245
20230101T0700,10.090245
20230101T0800,10.400246
20230101T0900,12.050245
20230101T1000,14.290245
20230101T1100,16.000246
20230101T1200,16.830246
20230101T1300,17.230246
20230101T1400,16.960245
20230101T1500,15.360246
20230101T1600,12.270246
20230101T1700,10.930245
20230101T1800,10.410245
20230101T1900,9.650246
20230101T2000,9.340245
20230101T2100,9.030245
20230101T2200,8.890245
20230101T2300,8.570246
20230102T0000,8.490246
20230102T0100,8.340245
20230102T0200,7.8402452
20230102T0300,7.8202453
20230102T0400,7.7602453
20230102T0500,7.5102453
20230102T0600,7.4702454
20230102T0700,7.420245
20230102T0800,7.540245
20230102T0900,9.110246
20230102T1000,11.150246
20230102T1100,12.700245
20230102T1200,14.210245
20230102T1300,14.500245
20230102T1400,13.990245
20230102T1500,12.970245
20230102T1600,12.430245
20230102T1700,12.130245
20230102T1800,11.470245
20230102T1900,10.900246
20230102T2000,10.500245
20230102T2100,9.730246
20230102T2200,9.120245
20230102T2300,8.640245
20230103T0000,8.300245
20230103T0100,7.8202453
20230103T0200,7.3702455
20230103T0300,6.9702454
20230103T0400,6.730245
20230103T0500,6.3702455
20230103T0600,6.0902452
20230103T0700,5.630245
20230103T0800,5.670245
20230103T0900,6.400245
20230103T1000,7.4102454
20230103T1100,8.540245
20230103T1200,9.410245
20230103T1300,9.830245
20230103T1400,9.970245
20230103T1500,9.610246
20230103T1600,8.050245
20230103T1700,6.6002455
20230103T1800,3.5602455
20230103T1900,3.1502452
20230103T2000,3.1902456
20230103T2100,3.3602452
20230103T2200,4.6802454
20230103T2300,4.650245
20230104T0000,4.5502453
20230104T0100,4.5002456
20230104T0200,4.7002454
20230104T0300,4.790245
20230104T0400,5.170245
20230104T0500,5.8102455
20230104T0600,6.2402453
20230104T0700,6.670245
20230104T0800,7.360245
20230104T0900,7.9102454
20230104T1000,8.500245
20230104T1100,8.980246
20230104T1200,9.550245
20230104T1300,9.850245
20230104T1400,10.0602455
20230104T1500,10.200245
20230104T1600,10.240245
20230104T1700,10.200245
20230104T1800,10.330245
20230104T1900,10.280245
20230104T2000,10.5602455
20230104T2100,10.720245
20230104T2200,10.860246
20230104T2300,10.720245
20230105T0000,10.720245
20230105T0100,10.800245
20230105T0200,10.770246
20230105T0300,10.620245
20230105T0400,10.610246
20230105T0500,10.620245
20230105T0600,10.5602455
20230105T0700,10.550245
20230105T0800,10.630245
20230105T0900,11.030245
20230105T1000,11.550245
20230105T1100,11.950245
20230105T1200,12.210245
20230105T1300,12.410245
20230105T1400,12.370245
20230105T1500,12.230246
20230105T1600,11.920245
20230105T1700,11.3102455
20230105T1800,10.530245
20230105T1900,9.400246
20230105T2000,8.960245
20230105T2100,8.640245
20230105T2200,8.280246
20230105T2300,7.7202454
20230106T0000,7.1402454
20230106T0100,6.860245
20230106T0200,6.960245
20230106T0300,6.9702454
20230106T0400,7.5102453
20230106T0500,7.920245
20230106T0600,8.450246
20230106T0700,8.620245
20230106T0800,8.890245
20230106T0900,9.220245
20230106T1000,9.5602455
20230106T1100,9.980246
20230106T1200,10.450245
20230106T1300,10.500245
20230106T1400,10.470245
20230106T1500,10.130245
20230106T1600,10.270246
20230106T1700,10.080245
20230106T1800,9.510245
20230106T1900,8.650246
20230106T2000,7.920245
20230106T2100,8.000245
20230106T2200,7.750245
20230106T2300,7.0602455
20230107T0000,7.020245
20230107T0100,6.960245
20230107T0200,6.5902452
20230107T0300,6.460245
20230107T0400,6.4702454
20230107T0500,6.770245
20230107T0600,6.5302453
20230107T0700,6.6802454
20230107T0800,6.9902453
20230107T0900,7.6002455
20230107T1000,8.640245
20230107T1100,9.580245
20230107T1200,10.390245
20230107T1300,10.920245
20230107T1400,11.090245
20230107T1500,10.290245
20230107T1600,7.8702455
20230107T1700,6.6802454
20230107T1800,6.1202455
20230107T1900,5.880245
20230107T2000,5.630245
20230107T2100,5.5702453
20230107T2200,4.9302454
20230107T2300,4.8302455
20230108T0000,4.150245
20230108T0100,4.1802454
20230108T0200,4.4602456
20230108T0300,4.8702455
20230108T0400,5.270245
20230108T0500,5.8402452
20230108T0600,6.540245
20230108T0700,7.110245
